City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,ust'-ilimsk,58.0006,102.6619,-10.31,87,77,0.89,RU,1699818158
95,fortuna,40.5982,-124.1573,15.52,77,100,0.45,US,1699817802
96,yanchep,-31.55,115.6833,18.67,79,100,3.75,AU,1699818159
97,new norfolk,-42.7826,147.0587,10.4,78,16,1.68,AU,1699818159
98,kerema,-7.9631,145.7785,23.0,88,14,1.35,PG,1699818160
99,udachny,66.4167,112.4,-13.64,84,100,2.66,RU,1699818160
100,mejit,10.2753,170.8646,27.99,81,74,8.21,MH,1699818161
101,guerrero negro,27.9769,-114.0611,25.78,21,0,2.05,MX,1699818161
102,isafjordur,66.0755,-23.124,2.27,80,100,2.18,IS,1699818161
103,krasnoufimsk,56.6059,57.7669,0.31,93,100,2.17,RU,1699818162
104,touros,-5.1989,-35.4608,26.67,70,1,6.87,BR,1699818043
105,qaqortoq,60.7167,-46.0333,-6.52,84,4,0.49,GL,1699818163
106,al kharj,24.155,47.3346,25.32,45,82,3.7,SA,1699818163
107,la rinconada,37.4873,-5.9826,20.59,80,0,0.51,ES,1699817890
108,vernon,50.2581,-119.2691,7.01,58,100,3.6,CA,1699818164
109,la libertad,-2.2333,-80.9,26.81,69,100,4.63,EC,1699818166
110,posto fiscal rolim de moura,-13.0833,-62.2667,36.37,34,100,3.4,BR,1699818167
111,iqaluit,63.7506,-68.5145,-17.15,77,20,7.72,CA,1699818168
112,nemyriv,48.9708,28.8378,6.89,71,98,7.16,UA,1699817946
113,mersa matruh,31.3525,27.2453,22.11,68,0,2.06,EG,1699818169
114,uiju,40.1994,124.5317,-4.51,57,0,3.03,KP,1699818170
115,olyokminsk,60.3736,120.4264,-13.15,97,98,1.43,RU,1699818171
116,fort wellington,6.4,-57.6,29.18,72,4,5.18,GY,1699818171
117,la passe,45.5549,-0.8967,16.13,89,100,5.84,FR,1699818172
118,bonthe,7.5264,-12.505,26.36,86,59,3.2,SL,1699818172
119,cidreira,-30.1811,-50.2056,19.71,96,100,4.35,BR,1699818173
120,borogontsy,62.6683,131.1683,-17.43,96,90,3.33,RU,1699818173
121,lebu,-37.6167,-73.65,11.16,57,3,8.29,CL,1699818174
122,hamilton,39.1834,-84.5333,15.43,45,0,3.6,US,1699817911
123,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,75,12.52,RU,1699818175
124,scarborough,54.2797,-0.4044,7.73,87,100,0.89,GB,1699817935
125,san luis de la loma,17.2706,-100.8939,30.56,66,51,2.99,MX,1699818176
126,grants,35.1473,-107.8514,13.13,28,0,0.0,US,1699818064
127,port blair,11.6667,92.75,25.02,94,75,0.51,IN,1699818176
128,kill devil hills,36.0307,-75.676,13.32,74,100,9.26,US,1699818177
129,hadibu,12.65,54.0333,26.9,82,54,5.94,YE,1699818177
130,ilza,51.1631,21.2398,5.88,78,100,4.99,PL,1699818178
131,tidjikja,18.5564,-11.4271,27.25,12,7,3.84,MR,1699818178
132,wailua homesteads,22.0669,-159.378,26.24,80,40,9.77,US,1699818179
133,talodi,10.6325,30.3797,29.23,45,77,1.78,SD,1699818179
134,santa ana,33.7456,-117.8678,31.34,11,0,2.57,US,1699818180
135,kirsehir,39.3333,34.1667,12.79,57,42,2.5,TR,1699818180
136,sitka,57.0531,-135.33,4.94,81,0,2.57,US,1699818181
137,malango,-2.9627,119.9001,19.14,97,100,0.89,ID,1699818181
138,kalamata,37.0389,22.1142,19.5,71,75,2.06,GR,1699818182
139,antsiranana,-12.2787,49.2917,25.5,79,35,6.93,MG,1699818182
140,woolgoolga,-30.1106,153.2007,22.25,90,69,6.5,AU,1699818183
141,college,64.8569,-147.8028,-7.03,79,100,2.57,US,1699818028
142,utrik,11.2278,169.8474,28.06,80,100,8.22,MH,1699818184
143,timimoun,29.2639,0.231,23.21,15,0,2.06,DZ,1699818185
144,papao,-17.75,-149.55,28.82,78,41,1.1,PF,1699818185
145,atafu village,-8.5421,-172.5159,28.75,71,100,0.98,TK,1699818186
146,taltal,-25.4,-70.4833,20.04,61,20,2.73,CL,1699818021
147,port alfred,-33.5906,26.891,14.54,85,7,0.45,ZA,1699818187
148,selty,57.3132,52.1345,0.96,87,100,3.86,RU,1699818188
149,severo-yeniseyskiy,60.3725,93.0408,-4.12,98,100,0.89,RU,1699818188
150,yigo village,13.5361,144.8886,27.62,86,75,6.17,GU,1699818189
151,talara,-4.5772,-81.2719,27.42,57,0,7.2,PE,1699818189
152,verkhnevilyuysk,63.4453,120.3167,-21.22,99,37,2.02,RU,1699818190
153,vilppula,62.0212,24.5048,0.19,96,100,4.39,FI,1699818192
154,valderice,38.0401,12.6151,20.5,88,20,5.66,IT,1699818192
155,san juan de miraflores,-12.1629,-76.9635,22.29,77,49,3.85,PE,1699818193
156,korla,41.7597,86.1469,4.16,67,5,2.49,CN,1699818193
157,hutchinson island south,27.2995,-80.2205,30.05,76,40,5.14,US,1699818194
158,aljezur,37.3191,-8.8033,16.87,93,2,0.51,PT,1699818194
159,curuzu cuatia,-29.7917,-58.0546,24.18,88,73,8.3,AR,1699818195
160,lihue,21.9789,-159.3672,26.58,75,40,9.77,US,1699818195
161,mandalgovi,45.7625,106.2708,-6.11,36,82,2.95,MN,1699818196
162,gadzhiyevo,69.2551,33.3362,-8.07,98,89,4.35,RU,1699818196
163,blackwater,-23.5833,148.8833,16.5,100,7,2.93,AU,1699817949
164,altay,47.8667,88.1167,-1.22,71,100,2.24,CN,1699818197
165,onega,63.9061,38.1404,-3.41,85,26,5.52,RU,1699818198
166,evanston,42.0411,-87.6901,14.63,40,20,7.72,US,1699817937
167,coquimbo,-29.9533,-71.3436,18.85,59,20,6.69,CL,1699818198
168,formosa do rio preto,-11.0483,-45.1931,37.22,15,7,2.47,BR,1699818199
169,saipan,15.1355,145.701,28.39,78,20,4.63,MP,1699818199
170,mana,5.6592,-53.7767,28.45,76,67,5.58,GF,1699818200
171,newman,37.3138,-121.0208,21.7,29,79,3.39,US,1699818200
172,arkhangel'sk,64.5401,40.5433,-3.26,93,19,3.07,RU,1699818201
173,puerto baquerizo moreno,-0.9,-89.6,28.55,65,40,7.72,EC,1699818201
174,vilyuchinsk,52.9306,158.4028,-2.26,80,64,3.47,RU,1699818201
175,port saint john's,-31.6229,29.5448,18.5,68,74,4.75,ZA,1699818202
176,floro,61.5996,5.0328,5.54,70,0,4.12,NO,1699818202
177,lagunas,-5.2269,-75.6753,32.96,51,100,1.58,PE,1699818203
178,santo antonio,-6.3106,-35.4789,27.99,51,0,6.68,BR,1699818203
179,saint-pierre,-21.3393,55.4781,20.82,78,0,1.54,RE,1699818204
180,argo,37.6333,22.7333,17.66,70,10,2.0,GR,1699818204
181,st. john's,47.5649,-52.7093,1.2,83,100,3.6,CA,1699818205
182,harstad,68.799,16.5293,-1.03,52,1,8.05,NO,1699818205
183,daru,-9.0763,143.2092,24.65,81,50,3.69,PG,1699818206
184,san patricio,28.017,-97.5169,16.97,95,100,4.54,US,1699818206
185,vorkuta,67.5,64.0,-9.15,94,35,5.1,RU,1699818207
186,merizo village,13.2658,144.6691,28.31,89,33,7.65,GU,1699818207
187,araripina,-7.5761,-40.4983,33.01,19,0,3.93,BR,1699818207
188,atamanovka,51.93,113.63,-16.76,97,40,0.96,RU,1699818208
189,at-bashi,41.1702,75.8106,-5.31,69,19,1.2,KG,1699818208
190,yuzhno-kurilsk,44.0306,145.8556,2.43,80,18,3.86,RU,1699818209
191,geraldton,-28.7667,114.6,19.23,77,0,3.6,AU,1699818209
192,burwell,53.293,0.0346,7.75,89,100,5.88,GB,1699818210
193,bedong,5.7274,100.5088,26.98,94,51,0.75,MY,1699818210
194,tweed heads,-28.1817,153.547,21.02,73,24,6.69,AU,1699818211
195,kavaratti,10.5669,72.642,27.65,76,81,2.25,IN,1699818211
196,tura,25.5198,90.2201,18.17,86,0,1.83,IN,1699818211
197,ghat,24.9647,10.1728,21.51,25,0,2.51,LY,1699818212
198,satana,20.5833,74.2,20.18,44,62,1.02,IN,1699818213
199,tezu,27.9167,96.1667,18.35,43,0,2.02,IN,1699818213
200,qoryooley,1.7878,44.53,26.06,81,67,2.64,SO,1699818214
201,krasnyy chikoy,50.3643,108.7512,-12.5,98,50,0.74,RU,1699818214
202,broome,42.2506,-75.833,4.83,70,100,2.06,US,1699818215
203,dudinka,69.4058,86.1778,-0.74,98,100,7.6,RU,1699818215
204,nagqu,31.5,92.0,-11.67,46,0,1.33,CN,1699818216
205,ar rahad,12.7167,30.65,31.72,32,93,1.46,SD,1699818216
206,christchurch,-43.5333,172.6333,15.11,67,32,1.54,NZ,1699818216
207,al majaridah,19.1236,41.9111,28.24,54,98,0.99,SA,1699818217
208,qaisumah,28.3112,46.1273,22.98,40,0,3.09,SA,1699818217
209,keflavik,64.0049,-22.5624,4.24,70,0,8.75,IS,1699818218
210,egilsstadir,65.2653,-14.3948,-2.05,93,75,4.12,IS,1699818218
211,sanniquellie,7.3622,-8.7061,22.47,94,82,0.96,LR,1699818219
212,lompoc,34.6391,-120.4579,28.1,15,0,2.24,US,1699818219
213,tshabong,-26.05,22.45,25.79,9,0,4.83,BW,1699818219
214,anadyr,64.75,177.4833,-0.72,92,20,7.0,RU,1699818220
215,juan griego,11.0817,-63.9655,28.95,73,100,7.44,VE,1699818221
216,brookings,44.3114,-96.7984,14.47,43,0,9.77,US,1699817977
217,sevastopol,44.6,33.5333,13.33,41,100,0.89,UA,1699818222
218,songea,-10.6833,35.65,21.0,70,53,1.62,TZ,1699818222
219,bilibino,68.0546,166.4372,-13.24,92,100,3.18,RU,1699818222
220,alice springs,-23.7,133.8833,22.75,68,59,4.12,AU,1699818041
221,mangrol,21.1167,70.1167,26.12,31,100,3.94,IN,1699818223
222,abepura,-2.6333,140.5833,23.45,94,75,1.03,ID,1699818224
223,tolanaro,-25.0319,46.9987,22.04,78,0,8.23,MG,1699818224
224,mar del plata,-38.0023,-57.5575,16.72,54,0,9.26,AR,1699818183
225,yankton,42.8711,-97.3973,17.14,31,0,7.2,US,1699818225
226,kingston,17.997,-76.7936,33.53,67,20,10.29,JM,1699817679
227,teguise,29.0605,-13.564,20.12,83,0,3.09,ES,1699818226
228,chonchi,-42.6128,-73.8092,12.84,52,90,0.71,CL,1699818226
229,aksu,41.1231,80.2644,4.81,46,4,1.21,CN,1699818226
230,faizpur,21.1667,75.85,20.68,37,29,2.67,IN,1699818227
231,port augusta,-32.5,137.7667,15.39,47,100,3.81,AU,1699818227
232,huarmey,-10.0681,-78.1522,22.81,72,60,5.23,PE,1699818228
233,bozeman,45.6796,-111.0386,12.89,27,0,2.06,US,1699818228
234,malone,44.8487,-74.2949,2.05,50,6,1.78,US,1699818229
235,freetown,8.484,-13.2299,27.84,78,20,5.14,SL,1699818176
236,novokhopersk,51.0969,41.6252,10.42,70,56,10.21,RU,1699818229
237,quellon,-43.1167,-73.6167,8.85,67,100,1.99,CL,1699818230
238,hithadhoo,-0.6,73.0833,27.14,81,81,2.44,MV,1699818230
239,vadso,70.0744,29.7487,-3.91,86,0,7.2,NO,1699818231
240,howard springs,-12.497,131.047,26.95,82,84,1.45,AU,1699818231
241,pyt-yakh,60.7499,72.8582,-0.19,96,100,3.05,RU,1699818231
242,carnarvon,-24.8667,113.6333,20.46,84,19,2.99,AU,1699818232
243,la ronge,55.1001,-105.2842,3.14,60,75,7.72,CA,1699818233
244,weno,7.4515,151.8468,24.97,100,100,2.06,FM,1699818233
245,rongelap,11.1635,166.8941,27.54,83,100,8.78,MH,1699818233
246,aasiaat,68.7098,-52.8699,-13.94,84,91,2.95,GL,1699818234
247,fort bragg,35.139,-79.006,17.68,53,0,5.66,US,1699818234
248,veraval,20.9,70.3667,26.46,35,100,4.11,IN,1699818235
249,tarnogskiy gorodok,60.4997,43.5761,0.41,98,100,4.75,RU,1699818235
250,sao gabriel da cachoeira,-0.1303,-67.0892,33.89,59,20,1.54,BR,1699818236
251,iwanai,42.9744,140.5089,1.49,83,100,4.26,JP,1699818237
